W[1][0][0]=1.66052  W[1][0][1]=3.13314  W[1][0][2]=3.04634  W[1][1][0]=-3.46268  W[1][1][1]=-0.401879  W[1][1][2]=-0.244509  W[1][2][0]=1.10761  W[1][2][1]=0.0325357  W[1][2][2]=0.34753  W[1][3][0]=-1.73474  W[1][3][1]=1.0097  W[1][3][2]=-0.369951  W[2][0][0]=3.49898  W[2][0][1]=3.03986  W[2][0][2]=-0.428554  W[2][0][3]=2.18951  W[2][0][4]=1.12258  W[2][1][0]=1.12258  W[2][1][1]=0.657738  W[2][1][2]=-0.217947  W[2][1][3]=0.506979  W[2][1][4]=1.74213  W[2][2][0]=1.74213  W[2][2][1]=2.1175  W[2][2][2]=-0.703466  W[2][2][3]=0.603178  W[2][2][4]=2.66723  W[2][3][0]=2.66723  W[2][3][1]=1.31626  W[2][3][2]=-0.769368  W[2][3][3]=0.47049  W[2][3][4]=2.61409  W[3][0][0]=2.61409  W[3][0][1]=1.13318  W[3][0][2]=2.74899  W[3][0][3]=2.44059  W[3][0][4]=4.80385  W[3][1][0]=4.80385  W[3][1][1]=0.393194  W[3][1][2]=0.84999  W[3][1][3]=0.919915  W[3][1][4]=2.91701  W[4][0][0]=7.88168  W[4][0][1]=4.2662  W[4][0][2]=6.14465  

W[1][0][0]=1.32786  W[1][0][1]=3.33346  W[1][0][2]=3.2821  W[1][1][0]=-4.56562  W[1][1][1]=-0.602502  W[1][1][2]=-0.0258292  W[1][2][0]=1.32032  W[1][2][1]=-0.27735  W[1][2][2]=0.249622  W[1][3][0]=-1.65678  W[1][3][1]=1.49605  W[1][3][2]=-0.417686  W[2][0][0]=4.1957  W[2][0][1]=3.15391  W[2][0][2]=-0.45695  W[2][0][3]=2.30711  W[2][0][4]=1.37169  W[2][1][0]=1.37169  W[2][1][1]=0.882974  W[2][1][2]=-0.314151  W[2][1][3]=0.635875  W[2][1][4]=2.19696  W[2][2][0]=2.19696  W[2][2][1]=2.741  W[2][2][2]=-0.806417  W[2][2][3]=0.926627  W[2][2][4]=2.8081  W[2][3][0]=2.8081  W[2][3][1]=1.76199  W[2][3][2]=-1.12727  W[2][3][3]=0.617858  W[2][3][4]=2.4907  W[3][0][0]=2.4907  W[3][0][1]=1.29827  W[3][0][2]=3.33433  W[3][0][3]=2.98548  W[3][0][4]=5.82604  W[3][1][0]=5.82604  W[3][1][1]=0.483005  W[3][1][2]=0.977658  W[3][1][3]=1.02232  W[3][1][4]=3.05752  W[4][0][0]=8.34134  W[4][0][1]=5.08775  W[4][0][2]=6.17755  

W[1][0][0]=1.16368  W[1][0][1]=3.3093  W[1][0][2]=3.22329  W[1][1][0]=-4.6409  W[1][1][1]=-0.665561  W[1][1][2]=-0.0608489  W[1][2][0]=1.29937  W[1][2][1]=-0.301229  W[1][2][2]=0.194547  W[1][3][0]=-1.5324  W[1][3][1]=1.46328  W[1][3][2]=-0.407571  W[2][0][0]=4.4105  W[2][0][1]=3.17441  W[2][0][2]=-0.339624  W[2][0][3]=2.24808  W[2][0][4]=1.33411  W[2][1][0]=1.33411  W[2][1][1]=0.920326  W[2][1][2]=-0.333922  W[2][1][3]=0.692502  W[2][1][4]=2.31346  W[2][2][0]=2.31346  W[2][2][1]=2.753  W[2][2][2]=-0.827867  W[2][2][3]=0.884414  W[2][2][4]=2.9753  W[2][3][0]=2.9753  W[2][3][1]=1.79199  W[2][3][2]=-1.22386  W[2][3][3]=0.572534  W[2][3][4]=2.63865  W[3][0][0]=2.63865  W[3][0][1]=1.36206  W[3][0][2]=3.45623  W[3][0][3]=3.13804  W[3][0][4]=5.88579  W[3][1][0]=5.88579  W[3][1][1]=0.48081  W[3][1][2]=0.997597  W[3][1][3]=1.02712  W[3][1][4]=3.21437  W[4][0][0]=8.52567  W[4][0][1]=5.29476  W[4][0][2]=6.31439  

W[1][0][0]=1.07817  W[1][0][1]=3.27187  W[1][0][2]=3.19148  W[1][1][0]=-4.66125  W[1][1][1]=-0.70286  W[1][1][2]=-0.0866899  W[1][2][0]=1.2883  W[1][2][1]=-0.328776  W[1][2][2]=0.164076  W[1][3][0]=-1.46309  W[1][3][1]=1.43007  W[1][3][2]=-0.364451  W[2][0][0]=4.56889  W[2][0][1]=3.20426  W[2][0][2]=-0.241693  W[2][0][3]=2.22161  W[2][0][4]=1.28257  W[2][1][0]=1.28257  W[2][1][1]=0.947072  W[2][1][2]=-0.352033  W[2][1][3]=0.749588  W[2][1][4]=2.40123  W[2][2][0]=2.40123  W[2][2][1]=2.74344  W[2][2][2]=-0.842456  W[2][2][3]=0.863671  W[2][2][4]=3.11882  W[2][3][0]=3.11882  W[2][3][1]=1.79474  W[2][3][2]=-1.29786  W[2][3][3]=0.544715  W[2][3][4]=2.76645  W[3][0][0]=2.76645  W[3][0][1]=1.41175  W[3][0][2]=3.5399  W[3][0][3]=3.25802  W[3][0][4]=5.90156  W[3][1][0]=5.90156  W[3][1][1]=0.481177  W[3][1][2]=1.01936  W[3][1][3]=1.02969  W[3][1][4]=3.34239  W[4][0][0]=8.67734  W[4][0][1]=5.44988  W[4][0][2]=6.43135  

W[1][0][0]=1.0059  W[1][0][1]=3.25304  W[1][0][2]=3.15946  W[1][1][0]=-4.68723  W[1][1][1]=-0.729024  W[1][1][2]=-0.108881  W[1][2][0]=1.26713  W[1][2][1]=-0.344582  W[1][2][2]=0.13379  W[1][3][0]=-1.40553  W[1][3][1]=1.40701  W[1][3][2]=-0.326647  W[2][0][0]=4.70081  W[2][0][1]=3.22792  W[2][0][2]=-0.176454  W[2][0][3]=2.21289  W[2][0][4]=1.24551  W[2][1][0]=1.24551  W[2][1][1]=0.972333  W[2][1][2]=-0.363008  W[2][1][3]=0.796508  W[2][1][4]=2.47315  W[2][2][0]=2.47315  W[2][2][1]=2.74915  W[2][2][2]=-0.847742  W[2][2][3]=0.839283  W[2][2][4]=3.24707  W[2][3][0]=3.24707  W[2][3][1]=1.8059  W[2][3][2]=-1.34419  W[2][3][3]=0.510388  W[2][3][4]=2.86841  W[3][0][0]=2.86841  W[3][0][1]=1.45016  W[3][0][2]=3.60905  W[3][0][3]=3.35625  W[3][0][4]=5.92485  W[3][1][0]=5.92485  W[3][1][1]=0.486537  W[3][1][2]=1.03937  W[3][1][3]=1.03426  W[3][1][4]=3.44247  W[4][0][0]=8.80734  W[4][0][1]=5.57766  W[4][0][2]=6.53092  

W[1][0][0]=0.957819  W[1][0][1]=3.24569  W[1][0][2]=3.14302  W[1][1][0]=-4.70276  W[1][1][1]=-0.757163  W[1][1][2]=-0.119162  W[1][2][0]=1.25721  W[1][2][1]=-0.363047  W[1][2][2]=0.115411  W[1][3][0]=-1.37675  W[1][3][1]=1.38168  W[1][3][2]=-0.287215  W[2][0][0]=4.80916  W[2][0][1]=3.25012  W[2][0][2]=-0.125581  W[2][0][3]=2.21457  W[2][0][4]=1.20975  W[2][1][0]=1.20975  W[2][1][1]=0.996144  W[2][1][2]=-0.373605  W[2][1][3]=0.841672  W[2][1][4]=2.52962  W[2][2][0]=2.52962  W[2][2][1]=2.76317  W[2][2][2]=-0.855139  W[2][2][3]=0.829477  W[2][2][4]=3.35257  W[2][3][0]=3.35257  W[2][3][1]=1.81669  W[2][3][2]=-1.38736  W[2][3][3]=0.487868  W[2][3][4]=2.95449  W[3][0][0]=2.95449  W[3][0][1]=1.48336  W[3][0][2]=3.66904  W[3][0][3]=3.44116  W[3][0][4]=5.94748  W[3][1][0]=5.94748  W[3][1][1]=0.494751  W[3][1][2]=1.05823  W[3][1][3]=1.03917  W[3][1][4]=3.52161  W[4][0][0]=8.92194  W[4][0][1]=5.68321  W[4][0][2]=6.61706  
